Date;Anio;Mes;Mes_Nombre;Semana_Anio;Dia_Semana
26/04/13;2013;4;Abril;17;Viernes
3/05/13;2013;5;Mayo;18;Viernes
10/05/13;2013;5;Mayo;19;Viernes
17/05/13;2013;5;Mayo;20;Viernes
24/05/13;2013;5;Mayo;21;Viernes
31/05/13;2013;5;Mayo;22;Viernes
7/06/13;2013;6;Junio;23;Viernes
14/06/13;2013;6;Junio;24;Viernes
21/06/13;2013;6;Junio;25;Viernes
28/06/13;2013;6;Junio;26;Viernes
5/07/13;2013;7;Julio;27;Viernes
12/07/13;2013;7;Julio;28;Viernes
19/07/13;2013;7;Julio;29;Viernes
26/07/13;2013;7;Julio;30;Viernes
